#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','3EEAAC','Discus','D-2581','3M','Y','Y'
'F','3EEE3B','ASK-23','D-3492','','Y','Y'
'I','3EEF6E','Discus 2','D-3799','Y1','Y','Y'
'I','3EF19D','Janus C','D-4358','G5','Y','Y'
'I','3EF19E','ASK-21','D-6507','G','Y','Y'
'F','3EF2D5','Ventus 2CXa','D-4670','Y','Y','Y'
'I','3EF44F','Discus 2c','D-5048','LZ','Y','Y'
'F','3EF462','Ka-8','D-5067','','Y','Y'
'F','3EF4B9','ASK-21','D-5154','','Y','Y'
'F','3EF8EC','Duo Discus xl','D-6229','2M','Y','Y'
'F','3EF94F','ASW-28 18','D-6328','7M','Y','Y'
'F','3EFB29','LS-4 W','D-6803','4M','Y','Y'
'F','3EFB2A','LS-4 W','D-6802','6M','Y','Y'
'F','3EFC1D','ASK-21','D-7046','','Y','Y'
'F','3EFE1A','LS-8 18','D-7555','8M','Y','Y'
'F','3EFE8F','ASK-13','D-7672','','Y','Y'
'F','3EFEF8','Libelle Std','D-7777','4*7','Y','Y'
'I','3EFF62','','','','Y','N'
'I','3F0087','LS-7','D-8176','LT','Y','Y'
'I','3F074F','LS-7','D-9912','L6','Y','Y'
'I','3FED3D','Ultralight','D-MPCV','CV','Y','Y'
'F','3FEE16','Flight Design CTSW','','LT','Y','Y'
'F','3FF01B','WT9 Dynamic','D-MHIJ','IJ','Y','Y'
'I','3FF094','WT9 Dynamic','D-MHLG','LG','Y','Y'
'I','3FF112','WT9 Dynamic','','TL','Y','Y'
'I','3FF1E0','Ikarus C42 C','D-MHLA','LA','Y','Y'
'I','3FF1E4','Ultralight','','','Y','Y'
'I','3FF240','WT9 Dynamic','D-MFOW','OW','Y','Y'
'I','3FF35F','UFO','D-MSMA','MA','Y','Y'
'F','3FF384','WT9 Dynamic','D-MNUT','','Y','Y'
'F','400E8E','Motorplane','G-BYWK','WK','Y','Y'
'F','400E8F','Motorplane','G-BYWL','WL','Y','Y'
'F','400E90','Motorplane','G-BYWM','WM','Y','Y'
'F','400E91','Motorplane','G-BYWN','WN','Y','Y'
'F','400E92','Motorplane','G-BYWO','WO','Y','Y'
'F','400E93','Motorplane','G-BYWP','WP','Y','Y'
'F','400E94','Motorplane','G-BYWR','WR','Y','Y'
'F','400E95','Motorplane','G-BYWS','WS','Y','Y'
'F','400E96','Motorplane','G-BYWT','WT','Y','Y'
'F','400E97','Motorplane','G-BYWU','WU','Y','Y'
'F','400E98','Motorplane','G-BYWV','WV','Y','Y'
'F','400E99','Motorplane','G-BYWW','WW','Y','Y'
'F','400E9B','Motorplane','G-BYWX','WX','Y','Y'
'F','400E9C','Motorplane','G-BYWY','WY','Y','Y'
'F','400E9D','Motorplane','G-BYWZ','WZ','Y','Y'
'F','400E9E','Motorplane','G-BYXA','XA','Y','Y'
'F','400E9F','Motorplane','G-BYXB','XB','Y','Y'
'F','400EA0','Motorplane','G-BYXC','XC','Y','Y'
'F','400EA1','Motorplane','G-BYXD','XD','Y','Y'
'F','400EA2','Motorplane','G-BYXE','XE','Y','Y'
'F','400EA3','Motorplane','G-BYXF','XF','Y','Y'
'F','400EA4','Motorplane','G-BYXG','XG','Y','Y'
'F','400EA5','Motorplane','G-BYXH','XH','Y','Y'
'F','400EA6','Motorplane','G-BYXI','XI','Y','Y'
'F','400EA7','Motorplane','G-BYXJ','XJ','Y','Y'
'F','400EA8','Motorplane','G-BYXK','XK','Y','Y'
'F','400EA9','Motorplane','G-BYXL','XL','Y','Y'
'F','400EAA','Motorplane','G-BYXM','XM','Y','Y'
'F','400EAC','Motorplane','G-BYXO','XO','Y','Y'
'F','400EAD','Motorplane','G-BYXP','XP','Y','Y'
'F','400EAF','Motorplane','G-BYXS','XS','Y','Y'
'F','400EB0','Motorplane','G-BYXT','XT','Y','Y'
'F','400EB1','Motorplane','G-BYXX','XX','Y','Y'
'F','400EB2','Motorplane','G-BYXY','XY','Y','Y'
'F','400EB3','Motorplane','G-BYXZ','XZ','Y','Y'
'F','400EB4','Motorplane','G-BYYA','YA','Y','Y'
'F','400EB5','Motorplane','G-BYYB','YB','Y','Y'
'F','400EB6','Motorplane','G-BYWA','WA','Y','Y'
'F','400EB7','Motorplane','G-BYWB','WB','Y','Y'
'F','400EB8','Motorplane','G-BYWC','WC','Y','Y'
'F','400EB9','Motorplane','G-BYWD','WD','Y','Y'
'F','400EBA','Motorplane','G-BYWE','WE','Y','Y'
'F','400EBB','Motorplane','G-BYWF','WF','Y','Y'
'F','400EBC','Motorplane','G-BYWG','WG','Y','Y'
'F','400EBD','Motorplane','G-BYWH','WH','Y','Y'
'F','400EBE','Motorplane','G-BYWI','WI','Y','Y'
'F','400EBF','Motorplane','G-BYWJ','WJ','Y','Y'
'F','400EC5','Motorplane','G-BYUA','UA','Y','Y'
'F','400EC6','Motorplane','G-BYUB','UB','Y','Y'
'F','400EC7','Motorplane','G-BYUC','UC','Y','Y'
'F','400EC8','Motorplane','G-BYUD','UD','Y','Y'
'F','400EC9','Motorplane','G-BYUE','UE','Y','Y'
'F','400ECA','Motorplane','G-BYUF','UF','Y','Y'
'F','400ECB','Motorplane','G-BYUG','UG','Y','Y'
'F','400ECD','Motorplane','G-BYUI','UI','Y','Y'
'F','400ECE','Motorplane','G-BYUJ','UJ','Y','Y'
'F','400ECF','Motorplane','G-BYUK','UK','Y','Y'
'F','400ED0','Motorplane','G-BYUL','UL','Y','Y'
'F','400ED1','Motorplane','G-BYUM','UM','Y','Y'
